NrPolicy,NrObject,NrClaim,Date_of_loss,Paid,Reserves,Settlement_date
2811114,1,3815096,11/03/2016,911.828,1536.678,
2813226,1,3381646,27/12/2012,10259.035142,0,13/01/2016
2817951,1,3302192,11/06/2012,5.3286849,0,11/06/2015
2818633,1,3500096,03/06/2013,365.651007,0,
2823035,1,3348130,06/11/2012,2280.4008084,0,17/10/2015
2824691,1,3920211,30/07/2016,272.244,0,
2827255,1,3259750,26/04/2012,5873.9679687,0,07/05/2015
2833804,1,3279070,27/04/2012,1251.1410249,0,17/04/2015
2839423,1,3906288,13/06/2016,909.66,0,
2839455,1,3724050,01/08/2015,5116.148212,0,
2839463,1,3342904,18/11/2012,8614.3127,0,06/11/2015
2839492,1,3899751,06/06/2016,1065.9231,0,
2846174,1,3419387,09/06/2013,532.2170558,0,
2847965,1,3313731,17/11/2012,2539.64958,0,21/11/2015
2848103,1,3328680,13/08/2012,1022.1916068,0,03/08/2015
2852373,1,3266380,18/02/2012,806.74152,0,02/03/2015
2854853,1,3881512,19/06/2016,911.1715,0,
2858395,1,3632671,19/12/2014,497.0462588,0,
2860294,1,3407435,22/11/2012,1928.1133209,0,16/11/2015
2860532,2,3576049,18/04/2014,2669.2619283,0,
2862030,1,3504359,06/01/2014,813.4694271,0,
2864805,1,3838126,09/07/2016,1104.2734,0,
2866244,1,3894901,14/09/2016,2885.9787,0,
2872273,1,3454977,13/08/2013,2521.3412862,0,
2876083,1,3450344,26/10/2013,4840.7023368,0,
2879850,1,3839466,16/02/2016,1402.0272,0,
2881291,1,3865137,13/06/2016,1593.0124,0,
2881350,1,3538022,18/06/2014,878.400019,0,
2884989,2,3774151,14/07/2015,1487.5072938,0,
2886442,1,3414417,02/07/2013,3075.94018,0,
2888298,1,3847772,17/05/2016,993.5067,0,
2889244,1,3669046,17/04/2015,1181.5341714,0,
2889632,1,3892243,16/07/2016,2919.1064,0,
2889654,1,3392046,11/02/2013,2263.29928,0,
2890300,1,3755876,10/01/2016,1338.8964,0,
2891781,1,3216288,15/02/2012,1111.0087365,0,11/02/2015
2892562,1,3340966,19/08/2012,3042.313362,0,20/08/2015
2893423,1,3330465,03/04/2012,2030.306343,0,19/03/2015
2894230,1,3491148,23/06/2013,1226.8164546,0,
2894267,2,3503081,06/09/2013,1563.4114816,0,
2895177,1,3359374,13/11/2012,3042.12207,0,30/10/2015
2895931,1,3449386,01/07/2013,808.4623338,0,
2897234,1,3477950,01/08/2013,2608.73844,0,
2898914,1,3791172,20/02/2016,9082.93,0,
2900809,1,3507957,01/08/2013,49.3764558,0,
2904909,1,3335154,11/06/2012,2470.8710208,0,08/06/2015
2906574,2,3275287,02/05/2012,817.0435299,0,11/04/2015
2907184,1,3374701,17/04/2013,2380.1332962,0,
2918090,1,3763352,10/01/2016,1104.0484,0,
2918187,1,3827282,08/03/2016,2818.8328,0,
2918314,1,3729528,30/08/2015,3682.388795,0,
2919607,1,3323371,14/04/2012,833.3126802,0,03/04/2015
2924308,2,3884243,24/05/2016,1435.57,0,
2928770,1,3461821,14/09/2013,776.4368892,0,
2929228,1,3757499,20/11/2015,10707.400262,0,
2932138,1,3929001,24/07/2016,1136.1995,0,
2933965,1,3670590,12/01/2015,48.4263054,0,
2934010,1,3902648,21/09/2016,51.0286,0,
2934165,1,3295082,14/04/2012,606.20469,0,15/04/2015
2934503,1,3504891,29/09/2013,8411.67278,0,
2935409,1,3306790,14/07/2012,1971.4930872,0,10/07/2015
2936674,1,3824518,13/06/2016,51.0286,2402.93,
2938842,1,3640914,06/02/2015,1069.132977,0,
2939569,1,3556941,06/09/2014,6663.7758689,0,
2941248,1,3849969,20/06/2016,1511.7102,0,
2942110,1,3292699,13/08/2012,1025.4143172,0,02/08/2015
2943362,1,3353378,22/09/2012,1150.8800116,0,14/09/2015
2943842,1,3457167,07/05/2013,1016.0939096,0,
2944141,1,3300619,26/05/2012,3385.800873,0,12/05/2015
2945015,1,3792715,06/11/2015,658.8559098,0,
2945797,1,3409752,28/01/2013,1721.1147602,0,
2946117,1,3372154,24/10/2012,3584.9968011,0,29/10/2015
2946149,1,3599197,21/06/2014,17044.090777,0,
2946356,2,3849425,26/06/2016,1449.68,0,
2947107,1,3308783,07/11/2012,4863.8951361,0,21/11/2015
2947986,1,3399272,13/11/2012,1034.489313,0,08/11/2015
