Business,ClaimSize,dataset_type,ay,dy,SumOfamount
3rd Party,Large,CASE,2007,3,6766004
3rd Party,Large,CASE,2007,4,4868025
3rd Party,Large,CASE,2007,5,5354986
3rd Party,Large,CASE,2007,6,2763227
3rd Party,Large,CASE,2007,7,2196370
3rd Party,Large,CASE,2007,8,2262914
3rd Party,Large,CASE,2007,9,3011044
3rd Party,Large,CASE,2007,10,1464925
3rd Party,Large,CASE,2008,2,5246121
3rd Party,Large,CASE,2008,3,7723468
3rd Party,Large,CASE,2008,4,7710683
3rd Party,Large,CASE,2008,5,6666810
3rd Party,Large,CASE,2008,6,7447659
3rd Party,Large,CASE,2008,7,7171333
3rd Party,Large,CASE,2008,8,9668114
3rd Party,Large,CASE,2008,9,9835861
3rd Party,Large,CASE,2009,1,6993476
3rd Party,Large,CASE,2009,2,13475780
3rd Party,Large,CASE,2009,3,10624722
3rd Party,Large,CASE,2009,4,8900753
3rd Party,Large,CASE,2009,5,6844915
3rd Party,Large,CASE,2009,6,7349989
3rd Party,Large,CASE,2009,7,7320122
3rd Party,Large,CASE,2009,8,12167733
3rd Party,Large,CASE,2010,1,16369602
3rd Party,Large,CASE,2010,2,22439255
3rd Party,Large,CASE,2010,3,10201951
3rd Party,Large,CASE,2010,4,8653638
3rd Party,Large,CASE,2010,5,8904696
3rd Party,Large,CASE,2010,6,9212350
3rd Party,Large,CASE,2010,7,9119044
3rd Party,Large,CASE,2011,1,2316228
3rd Party,Large,CASE,2011,2,6879330
3rd Party,Large,CASE,2011,3,6095304
3rd Party,Large,CASE,2011,4,5622150
3rd Party,Large,CASE,2011,5,11542346
3rd Party,Large,CASE,2011,6,6455162
3rd Party,Large,CASE,2012,1,4359159
3rd Party,Large,CASE,2012,2,7249731
3rd Party,Large,CASE,2012,3,5166185
3rd Party,Large,CASE,2012,4,13543619
3rd Party,Large,CASE,2012,5,10048207
3rd Party,Large,CASE,2013,1,6323754
3rd Party,Large,CASE,2013,2,10074334
3rd Party,Large,CASE,2013,3,13637989
3rd Party,Large,CASE,2013,4,10774053
3rd Party,Large,CASE,2014,1,521554
3rd Party,Large,CASE,2014,2,6764399
3rd Party,Large,CASE,2014,3,6937348
3rd Party,Large,CASE,2015,1,5022811
3rd Party,Large,CASE,2015,2,10223746
3rd Party,Large,CASE,2016,1,1320716
3rd Party,Large,PAID,2007,3,7328813.171
3rd Party,Large,PAID,2007,4,12844368.44
3rd Party,Large,PAID,2007,5,14900989.75
3rd Party,Large,PAID,2007,6,17171813.55
3rd Party,Large,PAID,2007,7,16877972.93
3rd Party,Large,PAID,2007,8,17102230.05
3rd Party,Large,PAID,2007,9,17151288.42
3rd Party,Large,PAID,2007,10,16784262.44
3rd Party,Large,PAID,2008,2,9787539.662
3rd Party,Large,PAID,2008,3,10566282.62
3rd Party,Large,PAID,2008,4,15397937.78
3rd Party,Large,PAID,2008,5,16471503.32
3rd Party,Large,PAID,2008,6,16672576.2
3rd Party,Large,PAID,2008,7,16932853.39
3rd Party,Large,PAID,2008,8,18823228.53
3rd Party,Large,PAID,2008,9,18556215.75
3rd Party,Large,PAID,2009,1,84024.02
3rd Party,Large,PAID,2009,2,2164732.86
3rd Party,Large,PAID,2009,3,6467616.104
3rd Party,Large,PAID,2009,4,8181984.784
3rd Party,Large,PAID,2009,5,10003096.92
3rd Party,Large,PAID,2009,6,10331317.82
3rd Party,Large,PAID,2009,7,10356376.85
3rd Party,Large,PAID,2009,8,11903923.02
3rd Party,Large,PAID,2010,1,310444.07
3rd Party,Large,PAID,2010,2,1780964.618
3rd Party,Large,PAID,2010,3,13320278.76
3rd Party,Large,PAID,2010,4,16005000.92
3rd Party,Large,PAID,2010,5,16728668.08
3rd Party,Large,PAID,2010,6,17327406.7
3rd Party,Large,PAID,2010,7,18135138.27
3rd Party,Large,PAID,2011,1,28272.18
3rd Party,Large,PAID,2011,2,1355563.97
3rd Party,Large,PAID,2011,3,3517518.19
3rd Party,Large,PAID,2011,4,4442420.366
3rd Party,Large,PAID,2011,5,5373720.533
3rd Party,Large,PAID,2011,6,12522435.44
3rd Party,Large,PAID,2012,1,5840.53
3rd Party,Large,PAID,2012,2,1438326.717
3rd Party,Large,PAID,2012,3,3256260.117
3rd Party,Large,PAID,2012,4,4440035.763
3rd Party,Large,PAID,2012,5,9221521.087
3rd Party,Large,PAID,2013,1,22975.8
3rd Party,Large,PAID,2013,2,2055397.225
3rd Party,Large,PAID,2013,3,2444469.747
3rd Party,Large,PAID,2013,4,6309205.997
3rd Party,Large,PAID,2014,1,1058446.26
3rd Party,Large,PAID,2014,2,4770129.823
3rd Party,Large,PAID,2014,3,6513449.353
3rd Party,Large,PAID,2015,1,47188.73
3rd Party,Large,PAID,2015,2,2471998.84
3rd Party,Large,PAID,2016,1,1803284.74
3rd Party,Small,CASE,2007,3,12343588.48
3rd Party,Small,CASE,2007,4,8676845.54
3rd Party,Small,CASE,2007,5,5879249.34
3rd Party,Small,CASE,2007,6,4802385.17
3rd Party,Small,CASE,2007,7,4691012.6
3rd Party,Small,CASE,2007,8,3159959.03
3rd Party,Small,CASE,2007,9,1890221.03
3rd Party,Small,CASE,2007,10,2210381.6
3rd Party,Small,CASE,2008,2,22099471.33
3rd Party,Small,CASE,2008,3,15096051.84
3rd Party,Small,CASE,2008,4,13360465.01
3rd Party,Small,CASE,2008,5,9854509.93
3rd Party,Small,CASE,2008,6,7651258.83
3rd Party,Small,CASE,2008,7,6196843.61
3rd Party,Small,CASE,2008,8,3141758.46
3rd Party,Small,CASE,2008,9,2509764.82
3rd Party,Small,CASE,2009,1,15309795.28
3rd Party,Small,CASE,2009,2,18946685.88
3rd Party,Small,CASE,2009,3,16403069.07
3rd Party,Small,CASE,2009,4,14453083.63
3rd Party,Small,CASE,2009,5,11575939.21
3rd Party,Small,CASE,2009,6,9220572.56
3rd Party,Small,CASE,2009,7,6451691.51
3rd Party,Small,CASE,2009,8,4392345.06
3rd Party,Small,CASE,2010,1,15791851.64
3rd Party,Small,CASE,2010,2,19080411.07
3rd Party,Small,CASE,2010,3,13473328.93
3rd Party,Small,CASE,2010,4,11695999.64
3rd Party,Small,CASE,2010,5,9667429.95
3rd Party,Small,CASE,2010,6,7239989.72
3rd Party,Small,CASE,2010,7,5342267.9
3rd Party,Small,CASE,2011,1,16564754.46
3rd Party,Small,CASE,2011,2,20607725.64
3rd Party,Small,CASE,2011,3,16525533.81
3rd Party,Small,CASE,2011,4,12846991.89
3rd Party,Small,CASE,2011,5,9480561.56
3rd Party,Small,CASE,2011,6,6506752.95
3rd Party,Small,CASE,2012,1,11447306.64
3rd Party,Small,CASE,2012,2,15517255.91
3rd Party,Small,CASE,2012,3,13648867.75
3rd Party,Small,CASE,2012,4,11411387.56
3rd Party,Small,CASE,2012,5,11975756.95
3rd Party,Small,CASE,2013,1,14951809.92
3rd Party,Small,CASE,2013,2,14488459.88
3rd Party,Small,CASE,2013,3,12199940.19
3rd Party,Small,CASE,2013,4,8946653.894
3rd Party,Small,CASE,2014,1,9188029.374
3rd Party,Small,CASE,2014,2,15344171.18
3rd Party,Small,CASE,2014,3,13043045.78
3rd Party,Small,CASE,2015,1,12571388.73
3rd Party,Small,CASE,2015,2,13985092.23
3rd Party,Small,CASE,2016,1,10081036.14
3rd Party,Small,PAID,2007,3,7316195
3rd Party,Small,PAID,2007,4,9086960.86
3rd Party,Small,PAID,2007,5,9827259.09
3rd Party,Small,PAID,2007,6,11465525.7
3rd Party,Small,PAID,2007,7,12462769.97
3rd Party,Small,PAID,2007,8,12565322.41
3rd Party,Small,PAID,2007,9,13115624.42
3rd Party,Small,PAID,2007,10,14158890.5
3rd Party,Small,PAID,2008,2,5194383.615
3rd Party,Small,PAID,2008,3,7852465.295
3rd Party,Small,PAID,2008,4,9131713.622
3rd Party,Small,PAID,2008,5,12233527.89
3rd Party,Small,PAID,2008,6,13931133.95
3rd Party,Small,PAID,2008,7,14831677.68
3rd Party,Small,PAID,2008,8,16116765.69
3rd Party,Small,PAID,2008,9,17097319.78
3rd Party,Small,PAID,2009,1,1147098.602
3rd Party,Small,PAID,2009,2,4309138.895
3rd Party,Small,PAID,2009,3,6574633.503
3rd Party,Small,PAID,2009,4,10867436.33
3rd Party,Small,PAID,2009,5,12894988.84
3rd Party,Small,PAID,2009,6,14023897.43
3rd Party,Small,PAID,2009,7,15908524.2
3rd Party,Small,PAID,2009,8,16816495.11
3rd Party,Small,PAID,2010,1,1444153.03
3rd Party,Small,PAID,2010,2,4168281.061
3rd Party,Small,PAID,2010,3,8066007.758
3rd Party,Small,PAID,2010,4,9737553.788
3rd Party,Small,PAID,2010,5,11531285.85
3rd Party,Small,PAID,2010,6,12733427.6
3rd Party,Small,PAID,2010,7,14208203.68
3rd Party,Small,PAID,2011,1,1050606.517
3rd Party,Small,PAID,2011,2,5411795.053
3rd Party,Small,PAID,2011,3,9901675.012
3rd Party,Small,PAID,2011,4,12025040.36
3rd Party,Small,PAID,2011,5,13512963.64
3rd Party,Small,PAID,2011,6,16042093.1
3rd Party,Small,PAID,2012,1,1361742.68
3rd Party,Small,PAID,2012,2,6042108.726
3rd Party,Small,PAID,2012,3,9174489.059
3rd Party,Small,PAID,2012,4,12571240.27
3rd Party,Small,PAID,2012,5,14271852.52
3rd Party,Small,PAID,2013,1,1511336.18
3rd Party,Small,PAID,2013,2,7312143.502
3rd Party,Small,PAID,2013,3,11320293.25
3rd Party,Small,PAID,2013,4,13230807.15
3rd Party,Small,PAID,2014,1,1310066.555
3rd Party,Small,PAID,2014,2,5199411.628
3rd Party,Small,PAID,2014,3,9854715.545
3rd Party,Small,PAID,2015,1,1263065.62
3rd Party,Small,PAID,2015,2,5326369.536
3rd Party,Small,PAID,2016,1,775160.28
House,Large,CASE,2007,3,12520763
House,Large,CASE,2007,4,6141252
House,Large,CASE,2007,5,2854012
House,Large,CASE,2007,6,5628
House,Large,CASE,2007,7,-16579
House,Large,CASE,2007,8,12765
House,Large,CASE,2007,9,35369
House,Large,CASE,2007,10,0
House,Large,CASE,2008,2,8018170
House,Large,CASE,2008,3,8634789
House,Large,CASE,2008,4,3665974
House,Large,CASE,2008,5,80110
House,Large,CASE,2008,6,45557
House,Large,CASE,2008,7,-1542
House,Large,CASE,2008,8,195513
House,Large,CASE,2008,9,451215
House,Large,CASE,2009,1,36787989
House,Large,CASE,2009,2,28481029
House,Large,CASE,2009,3,13031060
House,Large,CASE,2009,4,9347081
