Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2012,2806529,1,01/01/2012,31/12/2012,6,C,43,40 <=  x < 45,14,4905,1,5,commercial car <3100 kg,PICKUP,083,2007,1896,2,181.27124218,1790.4800548
2012,2808727,1,01/01/2012,31/12/2012,6,C,33,30 <=  x < 35,18,3560,1,1,private car,CAR,049,2007,2835,5,334.09244953,5170.5288197
2015,2809575,1,01/01/2015,31/12/2015,9,S,52,50 <=  x < 55,14,2510,1,1,private car,CAR,023,2007,1581,5,135.2222589,1442.2264384
2012,2809732,1,01/01/2012,31/12/2012,6,C,43,40 <=  x < 45,20,7960,1,1,private car,CAR,084,2011,2401,5,650.2189326,7146.3097923
2015,2809970,1,01/01/2015,31/12/2015,9,C,46,45 <=  x < 50,12,5050,1,1,private car,CAR,053,2007,2203,8,147.69805479,1587.8876712000001
2012,2811375,1,01/01/2012,31/12/2012,6,C,43,40 <=  x < 45,12,5050,1,1,private car,CAR,053,2007,2203,8,287.34009389,2842.5807123
2012,2812034,1,01/01/2012,31/12/2012,6,C,43,40 <=  x < 45,12,1500,1,1,private car,CAR,023,2010,1242,5,148.08804915,177.60014137
2014,2812492,1,01/01/2014,31/12/2014,8,C,45,45 <=  x < 50,17,7875,1,57,truck over 20 tn,TRUCK,098,2011,11967,3,996.51392877,41319.269536
2015,2812657,1,01/01/2015,31/12/2015,9,C,46,45 <=  x < 50,12,2766,1,1,private car,CAR,015,2015,1398,2,40.629982403,3562.890411
2012,2813226,1,01/01/2012,31/12/2012,6,S,43,40 <=  x < 45,10,5200,1,1,private car,CAR,083,2007,1896,5,297.22577782,4662.9596712
2014,2813298,1,01/01/2014,31/12/2014,8,C,45,45 <=  x < 50,14,8000,1,5,commercial car <3100 kg,PICKUP,053,2014,2488,5,189.72212366,12410.021918
2013,2814017,1,01/01/2013,31/12/2013,7,C,44,40 <=  x < 45,7,9600,1,5,commercial car <3100 kg,PICKUP,024,2007,2496,3,168.18346477,1961.312377
2012,2814294,1,01/01/2012,31/12/2012,6,C,53,50 <=  x < 55,9,7960,1,1,private car,CAR,049,2007,2477,9,222.79075545,3632.8599452
2013,2814889,1,01/01/2013,31/12/2013,7,S,57,55 <=  x < 60,9,2975,1,1,private car,CAR,056,2007,1488,5,174.33850079,1997.8015721
2013,2815527,1,01/01/2013,31/12/2013,7,C,44,40 <=  x < 45,8,3100,1,1,private car,CAR,023,2013,1910,5,29.910284609,1635.2065574
2014,2815699,1,01/01/2014,31/12/2014,8,C,45,45 <=  x < 50,11,3140,1,51,driving school car,CAR,003,2012,1422,5,289.06635781,7740.0410959
2015,2815905,1,01/01/2015,31/12/2015,10,C,40,40 <=  x < 45,8,4920,1,1,private car,CAR,023,2010,1910,2,11.524407123,5077.3972603
2012,2815911,1,01/01/2012,31/12/2012,6,C,43,40 <=  x < 45,17,2510,1,1,private car,CAR,008,2012,1995,5,526.557242,4455.2115616
2012,2815967,1,01/01/2012,31/12/2012,6,C,41,40 <=  x < 45,17,5400,1,6,commercial car <3500 kg,PICKUP,049,2008,2835,3,52.980122659,3986.1205123
2015,2815993,1,01/01/2015,31/03/2015,9,C,42,40 <=  x < 45,13,1990,1,1,private car,CAR,083,2008,1896,5,72.897534247,3286.3561644
2012,2816242,1,01/01/2012,31/12/2012,7,C,43,40 <=  x < 45,11,2686,1,6,commercial car <3500 kg,PICKUP,049,2010,2977,3,391.14289101,19096.869933
2012,2816512,1,01/01/2012,31/12/2012,6,C,43,40 <=  x < 45,13,3140,1,5,commercial car <3100 kg,PICKUP,053,2001,2494,3,85.22989957,1029.2094247
2012,2816694,1,01/01/2012,31/12/2012,6,C,53,50 <=  x < 55,8,4470,1,1,private car,CAR,091,2009,1896,2,408.30255507,1269.9994789
2012,2816730,1,01/01/2012,31/12/2012,6,C,43,40 <=  x < 45,7,9600,1,5,commercial car <3100 kg,PICKUP,024,2007,2496,3,256.37709634,2624.9315068
2014,2816964,1,01/01/2014,31/12/2014,8,C,45,45 <=  x < 50,14,4920,1,1,private car,CAR,056,2011,973,5,186.84288986,2016.5561644
2013,2817007,1,01/01/2013,31/12/2013,7,C,44,40 <=  x < 45,17,3560,1,1,private car,CAR,047,2002,2498,5,539.80862942,11448.62776
2012,2817126,1,01/01/2012,31/12/2012,6,S,33,30 <=  x < 35,8,2430,1,1,private car,CAR,008,2010,1951,5,776.88614822,7360.1753425
2014,2817330,1,01/01/2014,31/12/2014,8,S,48,45 <=  x < 50,8,2815,1,1,private car,CAR,102,2012,2497,9,446.11726027,5675.4246575
2014,2817502,1,01/01/2014,29/03/2014,8,C,45,45 <=  x < 50,12,2425,1,1,private car,CAR,047,2011,2685,5,1077.8728159,14162.213699
2013,2817589,1,01/01/2013,31/12/2013,7,C,54,50 <=  x < 55,9,7960,1,1,private car,CAR,049,2007,2477,9,175.10390549,3039.3387978
2015,2817595,1,01/01/2015,31/12/2015,9,C,52,50 <=  x < 55,13,6300,1,1,private car,CAR,083,2009,1896,5,445.26786575,1832.7764384
2012,2817644,1,01/01/2012,31/12/2012,6,S,36,35 <=  x < 40,17,3140,1,1,private car,CAR,047,2007,2295,2,151.7670386,14502.61079
2012,2817805,1,01/01/2012,31/12/2012,6,C,43,40 <=  x < 45,14,8550,1,51,driving school car,CAR,091,2011,1422,5,216.72588103,4855.7465753
2013,2817859,1,01/01/2013,31/12/2013,7,C,44,40 <=  x < 45,5,2490,1,1,private car,CAR,057,2007,1905,2,0,1783.8570492
2012,2817951,1,01/01/2012,05/07/2012,6,C,60,60 <=  x < 65,4,3200,1,5,commercial car <3100 kg,PICKUP,024,2008,2496,3,164.23323243,4557.8814016
2012,2817958,1,01/01/2012,31/12/2012,6,S,43,40 <=  x < 45,12,2120,1,1,private car,CAR,102,2007,1341,5,2.7478384742,871.13466
2012,2818294,1,01/01/2012,31/12/2012,6,C,44,40 <=  x < 45,12,7665,1,6,commercial car <3500 kg,PICKUP,049,2007,3908,3,0,5666.556769
2012,2818451,1,01/01/2012,31/12/2012,6,C,43,40 <=  x < 45,8,3100,1,1,private car,CAR,023,2012,1108,5,0,1568.8860274
2012,2818466,1,01/01/2012,10/02/2012,5,C,92,90 <=  x < 95,14,5340,1,6,commercial car <3500 kg,PICKUP,015,2007,2446,3,20.907835616,3530.8309315
2013,2818633,1,01/01/2013,31/12/2013,7,C,44,40 <=  x < 45,12,1500,1,1,private car,CAR,023,2013,1242,5,129.43978029,2533.0023224
2012,2819332,1,01/01/2012,31/12/2012,6,C,53,50 <=  x < 55,15,3050,1,8,truck up to 10 tn,TRUCK,049,2008,3908,3,355.14302383,1325.8450685
2015,2819410,1,01/01/2015,31/12/2015,9,C,46,45 <=  x < 50,18,7920,1,1,private car,CAR,008,2013,2993,5,1480.0166926,17353.398082
2012,2819771,1,01/01/2012,31/12/2012,6,S,103,100 <=  x < 105,2,1600,1,1,private car,CAR,064,2007,1400,3,168.39704637,3694.220274
2012,2819812,1,01/01/2012,31/12/2012,6,C,49,45 <=  x < 50,13,6300,1,1,private car,CAR,083,2009,1896,5,208.0786726,597.87383562
2013,2819994,1,01/01/2013,31/12/2013,7,C,44,40 <=  x < 45,17,7875,1,57,truck over 20 tn,TRUCK,098,2011,11967,3,1362.3190983,41595.114748
2012,2819998,1,01/01/2012,31/12/2012,6,S,43,40 <=  x < 45,9,2695,1,51,driving school car,CAR,008,2008,2996,5,593.3336755,12302.773397
2012,2820011,1,01/01/2012,31/12/2012,6,C,46,45 <=  x < 50,12,2440,1,8,truck up to 10 tn,TRUCK,049,2007,2501,3,64.582796841,4178.4240132
2013,2820553,1,01/01/2013,31/12/2013,7,C,44,40 <=  x < 45,16,3520,1,1,private car,CAR,083,2007,1900,9,186.65448106,2518.0081967
2012,2820590,1,01/01/2012,13/04/2012,6,C,46,45 <=  x < 50,2,2925,1,1,private car,CAR,064,2007,1870,2,52.492273973,1683.0363288
2013,2820735,1,01/01/2013,31/12/2013,7,C,44,40 <=  x < 45,3,4480,1,1,private car,CAR,083,2008,1595,5,452.1238313,1270.8085246
2015,2821021,1,01/01/2015,02/04/2015,9,C,46,45 <=  x < 50,6,2510,1,1,private car,CAR,083,2006,1108,5,33.484294795,1062.1589041
2015,2821047,1,01/01/2015,15/04/2015,9,S,55,55 <=  x < 60,14,7875,1,1,private car,CAR,047,2010,2148,5,160.64404521,9588.0821918
2015,2821107,1,01/01/2015,03/01/2015,8,C,46,45 <=  x < 50,11,2510,1,5,commercial car <3100 kg,PICKUP,083,2007,2370,3,0.7673449315,1724.6505205
2014,2821786,1,01/01/2014,20/04/2014,8,C,57,55 <=  x < 60,3,3070,2,1,private car,CAR,024,2002,1750,2,191.91186813,5013.8616148
2013,2821831,1,01/01/2013,31/12/2013,7,C,44,40 <=  x < 45,11,5050,1,1,private car,CAR,083,2011,1896,5,629.11873339,10762.295082
