Region,Unit,Segment,Business,Year,Losses,Expenses,Premium
Alandia,Unit1,Big,Doctors,2012,2600539.465,1135115.516,5067884.513
Alandia,Unit1,Big,Doctors,2013,4369930.003,1881538.09,5980324.145
Alandia,Unit1,Big,Doctors,2014,2318880.907,1535611.781,2902295.362
Alandia,Unit1,Big,Doctors,2015,2619692.026,1620315.351,3588506.753
Alandia,Unit1,Big,Doctors,2016,5540184.228,3632494.522,7684048.747
Alandia,Unit1,Big,Criminals,2012,428851.3291,329345.563,2668626.786
Alandia,Unit1,Big,Criminals,2013,556216.5302,1160213.278,3716836.441
Alandia,Unit1,Big,Criminals,2014,1185162.417,1149986.679,4093473.147
Alandia,Unit1,Big,Criminals,2015,2054306.546,1083572.407,5204170.655
Alandia,Unit1,Big,Criminals,2016,1524925.802,1550970.954,6652137.948
Alandia,Unit1,Big,Third Party,2012,28837663.84,9980110.92,46930823.6
Alandia,Unit1,Big,Third Party,2013,34242728.9,14650548.47,51546855.37
Alandia,Unit1,Big,Third Party,2014,37312285.84,17061777.83,58325207.03
Alandia,Unit1,Big,Third Party,2015,35994105.19,16321723.4,54018768.4
Alandia,Unit1,Big,Third Party,2016,95923584.34,41865663.86,126522517.8
Alandia,Unit1,Big,Packaging,2012,0,0,0
Alandia,Unit1,Big,Packaging,2014,5375901.445,2087444.999,9512799.85
Alandia,Unit1,Big,Packaging,2015,5184111.806,2357897.367,6229733.106
Alandia,Unit1,Big,Packaging,2016,18873779.36,13324797.11,28371221.26
Alandia,Unit1,Big,Travel,2012,16558984.64,4030224.059,21828541.57
Alandia,Unit1,Big,Travel,2013,16040485.85,3864405.655,23583191.14
Alandia,Unit1,Big,Travel,2014,17758567.19,6355522.215,24475251.3
Alandia,Unit1,Big,Travel,2015,14997833.53,6162946.469,25493123.7
Alandia,Unit1,Big,Travel,2016,163284777.4,55956596.56,232614752.1
Alandia,Unit1,Big,NA,2012,0.34960612,-6.103090155,0.770369181
Alandia,Unit1,Big,NA,2013,0,0.007722443,-0.007393542
Alandia,Unit1,Big,NA,2014,0,0,0
Alandia,Unit1,Big,NA,2015,0,0,0
Alandia,Unit1,Big,NA,2016,0,0,0
Alandia,Unit1,Big,NA,2012,-0.348188173,0,0
Alandia,Unit1,Big,NA,2013,0,163303.9941,0
Alandia,Unit1,Big,NA,2014,0.022757959,0.093045699,0.014679677
Alandia,Unit1,Big,NA,2015,0,0,0.007119388
Alandia,Unit1,Big,NA,2016,2024999.205,2461975.333,3183093.134
Alandia,Unit1,Big,Combined,2012,0,0,0
Alandia,Unit1,Big,Housing,2012,53125251.83,12339760.38,44347521.8
Alandia,Unit1,Big,Housing,2013,62466422.14,11435803,27942427.44
Alandia,Unit1,Big,Housing,2014,15713480.14,12167423.39,34115747.78
Alandia,Unit1,Big,Housing,2015,94161911.74,10531273.87,37709963.52
Alandia,Unit1,Big,Housing,2016,90358983.67,42166512.09,149662925.7
Alandia,Unit1,Big,Accidents,2012,0,0,0
Alandia,Unit1,Big,Accidents,2016,26911427.43,7102425.681,30753359.3
Alandia,Unit1,Big,Doctors,2012,2463686.042,1864572.133,3758492.213
Alandia,Unit1,Big,Doctors,2013,3344645.01,3035687.876,5522440.766
Alandia,Unit1,Big,Doctors,2014,3353040.382,3376153.419,5600300.25
Alandia,Unit1,Big,Doctors,2015,2573969.671,2350779.319,5126502.496
Alandia,Unit1,Big,Criminals,2012,125668.2598,902649.5937,2304737.307
Alandia,Unit1,Big,Criminals,2013,232996.6335,1218738.326,2532905.571
Alandia,Unit1,Big,Criminals,2014,1341441.11,994179.882,1449380.375
Alandia,Unit1,Big,Criminals,2015,342450.0252,839121.987,1206683.622
Alandia,Unit1,Big,Third Party,2012,38125020.84,28414946.24,68418401.25
Alandia,Unit1,Big,Third Party,2013,38682923.37,30634383.3,72291188.12
Alandia,Unit1,Big,Third Party,2014,41055718.27,32185584.09,71212994.69
Alandia,Unit1,Big,Third Party,2015,41844851.77,31644404.39,67321354.34
Alandia,Unit1,Big,Packaging,2012,41344483.05,26402710.17,69283812.65
Alandia,Unit1,Big,Packaging,2013,36054353.81,28462460.53,57524989.76
Alandia,Unit1,Big,Packaging,2014,18905384.82,18584054.67,37432627.4
Alandia,Unit1,Big,Packaging,2015,18525104.04,14597582.03,30853377.45
Alandia,Unit1,Big,Travel,2012,205775887.3,61003783.75,278735121.2
Alandia,Unit1,Big,Travel,2013,243899910,66243954.21,313611354.6
Alandia,Unit1,Big,Travel,2014,244619049.2,79378899.58,344852302.8
Alandia,Unit1,Big,Travel,2015,259282955.2,77658845.79,311810033.8
Alandia,Unit1,Big,NA,2012,0,0,0
Alandia,Unit1,Big,NA,2013,-0.007762436,0.015005739,0
Alandia,Unit1,Big,NA,2014,0,0,0
Alandia,Unit1,Big,NA,2015,0,0,0
Alandia,Unit1,Big,NA,2012,23966932.52,3295518.308,28413897.57
Alandia,Unit1,Big,NA,2013,23642275.42,5122778.481,26021410.86
Alandia,Unit1,Big,NA,2014,30388167.58,5455445.19,30021067.65
Alandia,Unit1,Big,NA,2015,19299302.38,3222901.667,23361662.92
Alandia,Unit1,Big,Combined,2012,0,1.050176194,0.5667857
Alandia,Unit1,Big,Combined,2013,0,0.035645548,0.00728709
Alandia,Unit1,Big,Combined,2014,0,0,0
Alandia,Unit1,Big,Housing,2012,71460968.45,43277502.76,116654108.4
Alandia,Unit1,Big,Housing,2013,80302143.73,46372111.62,126615636.2
Alandia,Unit1,Big,Housing,2014,85647483.4,53451015.52,125137753.9
Alandia,Unit1,Big,Housing,2015,79749899.78,44378836.09,111193174.5
Alandia,Unit1,Big,Accidents,2012,61961287.1,13405090.97,73329947.25
Alandia,Unit1,Big,Accidents,2013,60535146.64,15736072.38,74809223.05
Alandia,Unit1,Big,Accidents,2014,53638298.86,15501734.17,63824520.76
Alandia,Unit1,Big,Accidents,2015,38807768.04,13897845.92,48199159.82
Alandia,Unit2,Big,Doctors,2012,0,0,0
Alandia,Unit2,Big,Doctors,2013,0,0,0
Alandia,Unit2,Big,Criminals,2012,43744.43676,45565.57567,294316.3024
Alandia,Unit2,Big,Criminals,2013,-67583.43693,80987.83164,306909.9336
Alandia,Unit2,Big,Criminals,2014,1.401091606,84788.58183,282104.8096
Alandia,Unit2,Big,Criminals,2015,1.710969243,20425.37484,250276.9114
Alandia,Unit2,Big,Criminals,2016,-625959.804,-246997.3411,235571.2175
Alandia,Unit2,Big,Third Party,2012,2317758.166,5878366.388,8402832.253
Alandia,Unit2,Big,Third Party,2013,8134119.4,6395783.353,9577591.264
Alandia,Unit2,Big,Third Party,2014,2859845.88,6593720.355,8881959.957
