level_2,level_5,dataset_type,ay,dev,Expr1
N06K1,ATT,CASE,1995,180,174652.7999
N06K1,ATT,CASE,1995,192,153389.29
N06K1,ATT,CASE,1995,204,271584.7899
N06K1,ATT,CASE,1995,216,245926.2
N06K1,ATT,CASE,1995,228,96763.1101
N06K1,ATT,CASE,1995,240,1099.0101
N06K1,ATT,CASE,1995,252,0.3499
N06K1,ATT,CASE,1995,264,0.8499
N06K1,ATT,CASE,1996,168,-8079.9601
N06K1,ATT,CASE,1996,180,-9187.1299
N06K1,ATT,CASE,1996,192,108514.12
N06K1,ATT,CASE,1996,204,4503.13
N06K1,ATT,CASE,1996,216,2973.0999
N06K1,ATT,CASE,1996,228,0
N06K1,ATT,CASE,1996,240,0
N06K1,ATT,CASE,1996,252,0
N06K1,ATT,CASE,1997,156,110247.44
N06K1,ATT,CASE,1997,168,96368.6
N06K1,ATT,CASE,1997,180,117410.1699
N06K1,ATT,CASE,1997,192,112386.97
N06K1,ATT,CASE,1997,204,155308.0499
N06K1,ATT,CASE,1997,216,61309.25
N06K1,ATT,CASE,1997,228,20090.33
N06K1,ATT,CASE,1997,240,17722.77
N06K1,ATT,CASE,1998,144,139930.89
N06K1,ATT,CASE,1998,156,133099.39
N06K1,ATT,CASE,1998,168,23490.4099
N06K1,ATT,CASE,1998,180,22735.13
N06K1,ATT,CASE,1998,192,22735.13
N06K1,ATT,CASE,1998,204,0
N06K1,ATT,CASE,1998,216,0
N06K1,ATT,CASE,1998,228,0
N06K1,ATT,CASE,1999,132,93771.1801
N06K1,ATT,CASE,1999,144,96174.8201
N06K1,ATT,CASE,1999,156,73637.22
N06K1,ATT,CASE,1999,168,25953.13
N06K1,ATT,CASE,1999,180,7740.96
N06K1,ATT,CASE,1999,192,0.25
N06K1,ATT,CASE,1999,204,0
N06K1,ATT,CASE,1999,216,0
N06K1,ATT,CASE,2000,120,105225.19
N06K1,ATT,CASE,2000,132,38091.4801
N06K1,ATT,CASE,2000,144,23767.45
N06K1,ATT,CASE,2000,156,20695.45
N06K1,ATT,CASE,2000,168,83783.41
N06K1,ATT,CASE,2000,180,150
N06K1,ATT,CASE,2000,192,150
N06K1,ATT,CASE,2000,204,15
N06K1,ATT,CASE,2001,108,385095.67
N06K1,ATT,CASE,2001,120,383135.77
N06K1,ATT,CASE,2001,132,304892.84
N06K1,ATT,CASE,2001,144,293630.59
N06K1,ATT,CASE,2001,156,21422.77
N06K1,ATT,CASE,2001,168,16331.04
N06K1,ATT,CASE,2001,180,12360.3
N06K1,ATT,CASE,2001,192,12360.3
N06K1,ATT,CASE,2002,96,861731.0801
N06K1,ATT,CASE,2002,108,587519.19
N06K1,ATT,CASE,2002,120,439132.44
N06K1,ATT,CASE,2002,132,362795.19
N06K1,ATT,CASE,2002,144,281728.71
N06K1,ATT,CASE,2002,156,115618.09
N06K1,ATT,CASE,2002,168,45297.6198
N06K1,ATT,CASE,2002,180,0.1499
N06K1,ATT,CASE,2003,84,515466.29
N06K1,ATT,CASE,2003,96,183441.34
N06K1,ATT,CASE,2003,108,183818.74
N06K1,ATT,CASE,2003,120,164640.84
N06K1,ATT,CASE,2003,132,159949.0899
N06K1,ATT,CASE,2003,144,159774.2799
N06K1,ATT,CASE,2003,156,43678.62
N06K1,ATT,CASE,2003,168,26637.9501
N06K1,ATT,CASE,2004,72,865331.4
N06K1,ATT,CASE,2004,84,469754.49
N06K1,ATT,CASE,2004,96,490352.78
N06K1,ATT,CASE,2004,108,428882.69
N06K1,ATT,CASE,2004,120,273992.73
N06K1,ATT,CASE,2004,132,8426.29
N06K1,ATT,CASE,2004,144,193.01
N06K1,ATT,CASE,2004,156,0.03
N06K1,ATT,CASE,2005,60,935032.72
N06K1,ATT,CASE,2005,72,728353.5
N06K1,ATT,CASE,2005,84,166264.22
N06K1,ATT,CASE,2005,96,195553.09
N06K1,ATT,CASE,2005,108,258243.38
N06K1,ATT,CASE,2005,120,-220885.72
N06K1,ATT,CASE,2005,132,32189.8099
N06K1,ATT,CASE,2005,144,9078.6499
N06K1,ATT,CASE,2006,48,2113393.1
N06K1,ATT,CASE,2006,60,1200678.54
