Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2016,2805740,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,17,2630,1,1,private car,CAR,064,2005,1900,2,142.87418856,1340.9552915
2016,2808283,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,14,4905,1,5,commercial car <3100 kg,PICKUP,083,2007,1896,2,79.486634628,877.80821918
2016,2808632,1,01/01/2016,08/04/2016,10,C,37,35 <=  x < 40,18,3560,1,1,private car,CAR,049,2007,2835,5,63.350859452,3203.3917808
2016,2809614,1,01/01/2016,31/12/2016,10,S,78,75 <=  x < 80,14,2330,1,1,private car,CAR,047,2002,1997,5,100.72851799,2433.6643934
2016,2810237,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,17,3560,1,1,private car,CAR,047,2013,2148,5,744.60610064,14056.986301
2016,2810376,1,01/01/2016,08/04/2016,10,C,47,45 <=  x < 50,17,2510,1,1,private car,CAR,008,2012,1995,5,155.51928767,9582.8420416
2016,2811059,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,17,7875,1,57,truck over 20 tn,TRUCK,098,2011,11967,3,760.73416273,19387.545205
2016,2811114,1,01/01/2016,31/12/2016,10,C,57,55 <=  x < 60,9,7960,1,1,private car,CAR,049,2007,2477,9,106.99827712,1449.4191781
2016,2811213,1,01/01/2016,31/12/2016,10,S,47,45 <=  x < 50,12,3430,1,5,commercial car <3100 kg,PICKUP,102,2009,2476,6,131.22288999,1616.2767123
2016,2812390,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,12,5050,1,1,private car,CAR,053,2007,2203,8,116.2965035,1282.7260274
2016,2812470,1,01/01/2016,01/04/2016,10,S,50,50 <=  x < 55,8,2815,1,1,private car,CAR,102,2012,2497,9,87.04459726,4011.5342466
2016,2812761,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,20,7960,1,1,private car,CAR,084,2011,2401,5,463.07141981,8108.4931507
2016,2814324,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,17,7100,2,51,driving school car,CAR,079,2017,1364,5,335.43815495,6556.0657534
2016,2814384,1,01/01/2016,02/02/2016,9,C,47,45 <=  x < 50,5,4905,1,1,private car,CAR,003,2011,1899,5,218.77165589,6191.839726
2016,2814493,1,01/01/2016,31/12/2016,10,S,53,50 <=  x < 55,14,2510,1,1,private car,CAR,023,2007,1581,5,97.432187289,1157.6510959
2016,2814649,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,12,2766,1,1,private car,CAR,015,2015,1398,2,127.09125308,3603.0871233
2016,2815013,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,14,8000,1,5,commercial car <3100 kg,PICKUP,053,2014,2488,5,310.73319343,5514.8493151
2016,2815522,1,01/01/2016,31/12/2016,10,S,46,45 <=  x < 50,14,1250,4,1,private car,CAR,079,2007,2446,5,265.96110435,736.05479452
2016,2815709,1,01/01/2016,28/04/2016,10,S,64,60 <=  x < 65,11,7040,1,1,private car,CAR,037,2013,2720,5,295.07454493,17672.128767
2016,2815832,1,01/01/2016,29/04/2016,10,C,47,45 <=  x < 50,15,2495,2,6,commercial car <3500 kg,PICKUP,064,2012,2498,3,82.618542857,3976.4383562
2016,2816249,1,01/01/2016,30/04/2016,10,C,47,45 <=  x < 50,10,9060,1,1,private car,CAR,084,2007,2461,5,107.47499671,5121.2383562
2016,2816553,1,01/01/2016,31/12/2016,10,C,47,45 <=  x < 50,16,3220,1,1,private car,CAR,057,2010,1888,5,53.826923836,3571.0520548
2016,2817554,1,01/01/2016,21/03/2016,10,C,47,45 <=  x < 50,14,4920,1,1,private car,CAR,056,2014,1300,5,54.750521703,1633.6767123
2016,2818109,1,01/01/2016,23/03/2016,10,C,52,50 <=  x < 55,1,1885,1,1,private car,CAR,057,2009,1977,2,110.07778849,1735.8164384
